Apartment,IPIP_1,IPIP_2,IPIP_3,IPIP_4,IPIP_5,IPIP_6,IPIP_7,IPIP_8,IPIP_9,IPIP_10,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness
TU.55,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Neutral,Extremely important,Rarely,Never,Rarely,Non-smoker,Never,Quiet & private,Do my fair share,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Extremely compatible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
E.02,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat sensitive,Extremely important,Rarely,Several times per week,A few times per month,Smoker,Never,Social & lively,Take responsibility for most,Compromise quickly,Shared interests / personality fit,Moderately,Extremely compatible,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Disagree
C.14,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Very insensitive,Extremely important,Rarely,Once per week,Rarely,Smoker,Rarely,Social & lively,Do my fair share,Avoid confrontation,Not important / flexible,Slightly,Very compatible,Strongly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree
CU.51,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,After 02:00,Somewhat insensitive,Very important,Always,Every day,Rarely,Non-smoker,Sometimes,Social & lively,Take responsibility for most,Try to solve problems through discussion,Being social and engaging,Moderately,Not at all compatible,Agree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree
B.02,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Somewhat sensitive,Extremely important,Sometimes,Rarely,A few times per month,Non-smoker,Often,Quiet & private,Do my fair share,Avoid confrontation,Shared interests / personality fit,Extremely,Slightly compatible,Agree,Agree,Agree,Agree,Strongly agree,Disagree
E.02,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,00:00-02:00,Somewhat sensitive,Moderately important,Sometimes,Several times per week,Never,Non-smoker,Sometimes,Quiet & private,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Slightly compatible,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Disagree
MO.71,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,00:00-02:00,Neutral,Extremely important,Sometimes,Several times per week,Several times per week,Non-smoker,Very often,Balanced,Do them when asked,Compromise quickly,Similar daily routines,Slightly,Moderately compatible,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
B.44,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Rarely,Rarely,Rarely,Smoker,Rarely,Very social,Take responsibility for most,Compromise quickly,Similar daily routines,Extremely,Slightly compatible,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree
E.02,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Slightly important,Sometimes,Rarely,A few times per month,Smoker,Sometimes,Mostly private,Take responsibility for most,Try to solve problems through discussion,Similar daily routines,Very,Very compatible,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree
B.31,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,After 02:00,Somewhat sensitive,Moderately important,Most of the time,Every day,Rarely,Non-smoker,Rarely,Mostly private,Take responsibility for most,Compromise quickly,Reliability in shared spaces,Very,Moderately compatible,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree
A.06,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,22:00-00:00,Neutral,Very important,Rarely,Every day,Rarely,Non-smoker,Sometimes,Quiet & private,Do my fair share,Compromise quickly,Being social and engaging,Very,Not at all compatible,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree
D.11,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Moderately important,Rarely,Several times per week,Several times per week,Non-smoker,Sometimes,Balanced,Take responsibility for most,Try to solve problems through discussion,Reliability in shared spaces,Extremely,Very compatible,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
TU.51,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Before 22:00,Somewhat insensitive,Extremely important,Rarely,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Do my fair share,Try to solve problems through discussion,Being social and engaging,Very,Slightly compatible,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly agree
B.51,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Moderately important,Most of the time,Rarely,Once per week,Non-smoker,Rarely,Quiet & private,Do my fair share,Avoid confrontation,Respect for boundaries,Moderately,Very compatible,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree
B.22,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,22:00-00:00,Somewhat sensitive,Extremely important,Often,Once per week,Once per week,Smoker,Often,Balanced,Take responsibility for most,Avoid confrontation,Reliability in shared spaces,Slightly,Slightly compatible,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree
A.32,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Very important,Often,Once per week,Rarely,Non-smoker,Sometimes,Balanced,Do them when asked,Avoid confrontation,Respect for boundaries,Very,Slightly compatible,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree
D.62,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Moderately important,Sometimes,Rarely,Once per week,Smoker,Often,Balanced,Do them when asked,Try to solve problems through discussion,Not important / flexible,Moderately,Not at all compatible,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree
CU.51,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Moderately important,Most of the time,Once per week,A few times per month,Non-smoker,Very often,Balanced,Do my fair share,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Extremely compatible,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree
D.04,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Often,Once per week,Once per week,Non-smoker,Rarely,Social & lively,Often take initiative,Try to solve problems through discussion,Similar daily routines,Slightly,Moderately compatible,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree
A.43,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,22:00-00:00,Somewhat insensitive,Moderately important,Most of the time,Once per week,Rarely,Non-smoker,Often,Balanced,Do my fair share,Try to solve problems through discussion,Being social and engaging,Moderately,Moderately compatible,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly agree
D.01,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Disagree,After 02:00,Somewhat insensitive,Extremely important,Often,Rarely,Rarely,Smoker,Very often,Balanced,Do my fair share,Try to solve problems through discussion,Similar daily routines,Moderately,Not at all compatible,Strongly agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
CU.12,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,After 02:00,Somewhat insensitive,Very important,Sometimes,Several times per week,A few times per month,Non-smoker,Never,Social & lively,Take responsibility for most,Compromise quickly,Similar daily routines,Very,Very compatible,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
A.63,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Moderately important,Rarely,Several times per week,Rarely,Non-smoker,Sometimes,Very social,Do my fair share,Try to solve problems through discussion,Being social and engaging,Very,Slightly compatible,Agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree
A.34,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,22:00-00:00,Neutral,Extremely important,Most of the time,Several times per week,Never,Non-smoker,Often,Mostly private,Do them when asked,"Be direct, even if uncomfortable",Respect for boundaries,Slightly,Extremely compatible,Strongly disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree
B.61,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,After 02:00,Neutral,Extremely important,Sometimes,Rarely,Several times per week,Non-smoker,Very often,Quiet & private,Often take initiative,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Extremely compatible,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree
MO43,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Neutral,Very important,Most of the time,Several times per week,Rarely,Smoker,Often,Social & lively,Take responsibility for most,Compromise quickly,Respect for boundaries,Not at all,Very compatible,Strongly agree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree
D.12,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,22:00-00:00,Somewhat insensitive,Extremely important,Always,Several times per week,A few times per month,Non-smoker,Sometimes,Mostly private,Avoid them,Try to solve problems through discussion,Being social and engaging,Not at all,Extremely compatible,Agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Agree
C.12,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Neutral,Extremely important,Sometimes,Never,Once per week,Smoker,Rarely,Very social,Often take initiative,Compromise quickly,Shared interests / personality fit,Slightly,Not at all compatible,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree
D.54,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat insensitive,Extremely important,Sometimes,Never,Rarely,Non-smoker,Rarely,Quiet & private,Avoid them,Try to solve problems through discussion,Similar daily routines,Very,Slightly compatible,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree
B.54,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Extremely important,Rarely,Never,Once per week,Non-smoker,Often,Very social,Do my fair share,Try to solve problems through discussion,Being social and engaging,Extremely,Slightly compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree
D.04,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Very insensitive,Moderately important,Often,Several times per week,Never,Non-smoker,Rarely,Balanced,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Moderately,Not at all compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree
A.62,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,00:00-02:00,Somewhat sensitive,Extremely important,Rarely,Rarely,Several times per week,Smoker,Sometimes,Social & lively,Do my fair share,Compromise quickly,Reliability in shared spaces,Moderately,Extremely compatible,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree
D.43,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Somewhat sensitive,Extremely important,Most of the time,Several times per week,Several times per week,Non-smoker,Sometimes,Mostly private,Do my fair share,Try to solve problems through discussion,Shared interests / personality fit,Very,Not at all compatible,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree
MO52,Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Somewhat insensitive,Moderately important,Most of the time,Every day,Rarely,Non-smoker,Rarely,Very social,Take responsibility for most,Compromise quickly,Similar daily routines,Extremely,Very compatible,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree
B.51,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Before 22:00,Neutral,Moderately important,Most of the time,Several times per week,Rarely,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Being social and engaging,Extremely,Very compatible,Strongly agree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree
D.43,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Rarely,Once per week,Rarely,Non-smoker,Often,Mostly private,Take responsibility for most,Avoid confrontation,Not important / flexible,Not at all,Slightly compatible,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Agree
B.01,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Extremely important,Most of the time,Every day,A few times per month,Non-smoker,Never,Quiet & private,Often take initiative,Compromise quickly,Being social and engaging,Slightly,Not at all compatible,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree
CU.42,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,00:00-02:00,Neutral,Extremely important,Most of the time,Once per week,Never,Non-smoker,Often,Very social,Avoid them,Try to solve problems through discussion,Respect for boundaries,Not at all,Not at all compatible,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree
E.51,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,22:00-00:00,Somewhat insensitive,Very important,Sometimes,Rarely,Never,Smoker,Often,Balanced,Do them when asked,Prefer not to say,Similar daily routines,Moderately,Slightly compatible,Agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree
E.11,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Extremely important,Most of the time,Several times per week,A few times per month,Non-smoker,Rarely,Balanced,Take responsibility for most,Compromise quickly,Not important / flexible,Very,Moderately compatible,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree
D.13,Strongly disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Moderately important,Most of the time,Several times per week,Rarely,Non-smoker,Rarely,Balanced,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Moderately compatible,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree
C.03,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Moderately important,Most of the time,Several times per week,Rarely,Smoker,Rarely,Social & lively,Take responsibility for most,"Be direct, even if uncomfortable",Respect for boundaries,Extremely,Moderately compatible,Agree,Agree,Strongly agree,Agree,Agree,Agree
B.12,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Agree,22:00-00:00,Somewhat sensitive,Moderately important,Most of the time,Never,Several times per week,Non-smoker,Often,Balanced,Do them when asked,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Very compatible,Agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree
B.11,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Extremely important,Sometimes,Every day,A few times per month,Non-smoker,Sometimes,Balanced,Do them when asked,Try to solve problems through discussion,Not important / flexible,Extremely,Slightly compatible,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Agree
D.54,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Moderately important,Sometimes,Once per week,Several times per week,Smoker,Often,Social & lively,Do my fair share,Compromise quickly,Similar daily routines,Not at all,Slightly compatible,Strongly disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree
D.61,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,After 02:00,Somewhat sensitive,Very important,Most of the time,Several times per week,Never,Smoker,Sometimes,Social & lively,Do my fair share,"Be direct, even if uncomfortable",Being social and engaging,Slightly,Very compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree
D.41,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Somewhat insensitive,Moderately important,Most of the time,Rarely,Once per week,Non-smoker,Often,Quiet & private,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Slightly compatible,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Disagree
C.43,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,22:00-00:00,Somewhat insensitive,Extremely important,Rarely,Every day,Rarely,Non-smoker,Rarely,Quiet & private,Do my fair share,"Be direct, even if uncomfortable",Shared interests / personality fit,Not at all,Slightly compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree
D.24,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,00:00-02:00,Neutral,Extremely important,Sometimes,Several times per week,A few times per month,Non-smoker,Very often,Quiet & private,Often take initiative,Avoid confrontation,Similar daily routines,Very,Very compatible,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Strongly agree,Agree
A.31,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,00:00-02:00,Somewhat sensitive,Extremely important,Sometimes,Several times per week,Rarely,Smoker,Very often,Mostly private,Do my fair share,Try to solve problems through discussion,Respect for boundaries,Not at all,Extremely compatible,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree
B.42,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Very important,Often,Rarely,Once per week,Non-smoker,Sometimes,Balanced,Avoid them,Try to solve problems through discussion,Not important / flexible,Very,Extremely compatible,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly agree
C.23,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Slightly important,Most of the time,Several times per week,Rarely,Non-smoker,Never,Balanced,Often take initiative,"Be direct, even if uncomfortable",Being social and engaging,Not at all,Slightly compatible,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
MO52,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,00:00-02:00,Neutral,Very important,Rarely,Once per week,Once per week,Non-smoker,Never,Very social,Do my fair share,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Moderately compatible,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree
C.32,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Very important,Sometimes,Several times per week,Never,Non-smoker,Never,Mostly private,Do my fair share,Compromise quickly,Being social and engaging,Very,Not at all compatible,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree
TU.53,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,00:00-02:00,Neutral,Extremely important,Most of the time,Never,Never,Non-smoker,Sometimes,Social & lively,Do my fair share,Try to solve problems through discussion,Not important / flexible,Extremely,Extremely compatible,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree
FR.32,Agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat insensitive,Extremely important,Often,Once per week,Rarely,Non-smoker,Very often,Balanced,Take responsibility for most,Try to solve problems through discussion,Not important / flexible,Moderately,Slightly compatible,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree
MO51,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,22:00-00:00,Somewhat sensitive,Moderately important,Always,Once per week,Several times per week,Non-smoker,Sometimes,Mostly private,Do my fair share,"Be direct, even if uncomfortable",Being social and engaging,Extremely,Slightly compatible,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
D.62,Neither agree nor disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat insensitive,Very important,Always,Once per week,Once per week,Smoker,Rarely,Balanced,Take responsibility for most,Try to solve problems through discussion,Respect for boundaries,Moderately,Very compatible,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree
TU.54,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Rarely,Several times per week,Never,Non-smoker,Often,Very social,Do my fair share,"Be direct, even if uncomfortable",Being social and engaging,Moderately,Extremely compatible,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree
C.23,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,00:00-02:00,Neutral,Very important,Rarely,Several times per week,Once per week,Non-smoker,Often,Quiet & private,Do them when asked,Avoid confrontation,Reliability in shared spaces,Very,Very compatible,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
A.62,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,After 02:00,Somewhat sensitive,Very important,Most of the time,Once per week,Once per week,Smoker,Very often,Balanced,Do my fair share,Try to solve problems through discussion,Being social and engaging,Slightly,Slightly compatible,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree
A.23,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,00:00-02:00,Neutral,Extremely important,Often,Never,Rarely,Non-smoker,Sometimes,Quiet & private,Do my fair share,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Moderately compatible,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree
C.31,Strongly disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,00:00-02:00,Somewhat sensitive,Very important,Rarely,Several times per week,A few times per month,Non-smoker,Often,Mostly private,Do my fair share,"Be direct, even if uncomfortable",Respect for boundaries,Very,Very compatible,Agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Strongly agree
B.43,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Most of the time,Rarely,Once per week,Smoker,Very often,Balanced,Often take initiative,Compromise quickly,Respect for boundaries,Moderately,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Strongly agree
